index,movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
3029,1634329,3.0,373271.0,1400000.0,59,675101,0,0,0,0,0,0,0,0,0,0,0,0,2009,90,0,Fruit & Nut,Baba Sandhu,1,6.0,0,Atmaram Bhende,1,6.0,0,Cyrus Broacha,1,6.0,0,Anisha Hinduja,1,6.0,0,Tapas Relia,5,7.2,0,Kunal Vijaykar,1,6.0,0,6.2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3030,356983,5.4,373271.0,1400000.0,94,675101,0,0,0,0,0,0,0,0,0,0,0,0,2002,159,0,Pakalpooram, Unknown,419,6.72,0,Salim Kumar,1,6.0,0,Geethu Mohandas,2,7.0,0,Mukesh,2,7.0,0, Unknown,427,6.54,0,Babu Pisharadi,3,6.0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3031,284479,4.6,373271.0,1400000.0,420,675101,0,0,0,0,0,0,0,0,0,0,0,0,2002,155,0,Shararat,Sooraj Bhalla,1,6.0,0,Abhishek Bachchan,15,6.27,5038152,Hrishitaa Bhatt,3,7.33,311,Amrish Puri,20,6.8,2549,Sajid-Wajid,9,6.56,194735,Gurudev Bhalla,1,6.0,0,6.49,5235747,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3032,417106,4.9,373271.0,1400000.0,476,675101,0,0,0,0,0,0,0,0,0,0,0,0,2004,162,0,Samba,Kodali Nani,1,6.0,0,N.T. Rama Rao Jr.,14,7.43,0,Prakash Raj,8,7.5,4378496,Genelia D'Souza,3,5.67,276608,Mani Sharma,64,6.66,0,Vinayak V.V.,14,6.36,679265,6.6,5334369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
3033,405121,3.7,373271.0,1400000.0,111,675101,0,0,0,0,0,0,0,0,0,0,0,0,2004,143,0,Love in Nepal,T.P. Aggarwal,2,6.0,0,Sonu Nigam,1,6.0,0,Flora Saini,1,6.0,63435,Jharana Bajracharya,1,6.0,0,Vinay,18,6.22,129,Rajat Mukherjee,3,5.33,0,5.93,63564,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3034,1199534,6.2,14351.0,1400000.0,47,675101,0,0,0,0,1,0,0,0,0,0,0,0,2008,134,0,Tulsi: Mathrudevobhava,Padmavathi C.H.,1,5.0,0,Manisha Koirala,3,7.33,47845,Irrfan Khan,10,6.3,3051119,Sadashiv Amrapurkar,5,6.2,0,Vinay,18,6.22,129,Ajay Kumar,1,5.0,0,6.01,3099093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3035,1102158,4.9,373271.0,1400000.0,47,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,140,0,Aanachandam, Unknown,419,6.72,0,Jayaram,10,7.4,0,Balachandran Chullikadu,1,6.0,0,Cochin Hanifa,2,8.0,0,Jaison Nair,1,6.0,0,Jayaraaj,3,6.67,0,6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3036,4773160,6.9,373271.0,1400000.0,45,675101,0,0,0,0,0,0,0,0,0,0,0,0,2007,150,0,Bidhatar Lekha,Krishna Mukherjee,1,6.0,0,Jeet,14,6.5,0,Sabyasachi Chakrabarty,3,6.67,0,Rupa Ganguly,4,8.0,0, Unknown,427,6.54,0,Raja Mukherjee,1,6.0,0,6.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,282771,5.8,403503.0,2500000.0,432,398610,0,0,0,0,0,0,0,0,0,0,1,0,2001,117,64,The Mystic Masseur,Pritish Nandy,2,8.0,0,Aasif Mandvi,1,6.0,0,Albert Laveau,1,6.0,0,Jimi Mistry,1,6.0,0,Richard Robbins,1,6.0,0,Ismail Merchant,1,6.0,0,6.33,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3038,375657,6.5,373271.0,1400000.0,539,675101,0,0,0,0,0,0,0,0,0,0,0,0,2003,154,0,Chronic Bachelor,Fazil,4,6.5,0,Aniyappan,1,6.0,0,Byon,1,6.0,0,Joemon Joshy,1,6.0,0,Deepak Dev,9,6.0,239760,Siddique,9,8.0,0,6.42,239760,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
