Name,Year,Genre,Budget,Duration,Rating,Language,Industry
Sadda Adda,2012,"Comedy ,Drama ,Romance",2000000,130,7.1,Hindi,Bollywood
Bhaag Johnny,2015,"Action ,Fantasy ,Thriller",1400000,118,5.1,Hindi,Bollywood
Race Gurram,2014,"Action ,Comedy",5000000,163,7.2,Telugu,Tollywood
Jatt & Juliet,2012,"Comedy ,Romance",490000,140,7.5,Other Language,Other-wood
Dora,2017,"Action ,Horror",1400000,139,5.3,Tamil,Kollywood
Dil Diyan Gallan,2019,"Drama ,Romance",1400000,122,7.0,Other Language,Other-wood
Ramaiya Vastavaiya,2013,"Action ,Drama ,Romance",1400000,148,5.6,Hindi,Bollywood
Jai Gangaajal,2016,"Crime ,Drama",1400000,149,5.6,Hindi,Bollywood
Charlie Chaplin 2,2019,Comedy,1400000,128,3.8,Tamil,Kollywood
Power Paandi,2017,"Musical ,Action ,Drama ,Family ,Romance",1400000,130,7.6,Tamil,Kollywood
Killa,2014,"Comedy ,Drama",1400000,107,8.0,Other Language,Other-wood
Oozham,2016,"Action ,Drama ,Thriller",1400000,140,6.0,Malayalam,Mollywood
Sathru,2019,Thriller,1400000,129,6.1,Malayalam,Mollywood
Timepass 2,2015,"Comedy ,Drama ,Romance",1400000,145,5.4,Other Language,Other-wood
Hero Gamchawala,2015,"Action ,Drama ,Romance",280000,140,6.3,Other Language,Other-wood
Pretham 2,2018,"Mystery ,Comedy ,Horror",1400000,133,5.4,Malayalam,Mollywood
Patel Ki Punjabi Shaadi,2017,Comedy,1400000,120,3.9,Hindi,Bollywood
Katyar Kaljat Ghusali,2015,Musical,1400000,162,8.8,Other Language,Other-wood
Ti Saddhya Kay Karte,2017,Romance,1400000,127,7.8,Other Language,Other-wood
North 24 Kaatham,2013,"Adventure ,Comedy ,Drama ,Family",1400000,125,7.6,Malayalam,Mollywood
Jaguar,2016,Action,1400000,153,5.7,Kannada,Sandalwood
Kaalo,2010,"Action ,Drama ,Horror",1400000,79,3.2,Hindi,Bollywood
Bazaar,2019,"Action ,Crime",1400000,140,6.0,Kannada,Sandalwood
Miss Lovely,2012,"Crime ,Drama ,Romance",1400000,113,6.3,Hindi,Bollywood
Malli Raava,2017,"Drama ,Romance",560000,129,8.1,Telugu,Tollywood
Thumbaa,2019,Adventure,1400000,123,5.9,Tamil,Kollywood
Nachom-ia Kumpasar,2015,"Musical ,Drama ,Romance",750000,156,8.3,Other Language,Other-wood
Sanam Re,2016,"Drama ,Romance",1400000,120,3.1,Hindi,Bollywood
Demonte Colony,2015,"Horror ,Thriller",1400000,116,6.9,Tamil,Kollywood
Vangaveeti,2016,"Action ,Biography ,Crime",1400000,142,6.3,Telugu,Tollywood
Engeyum Kadhal,2011,Romance,1400000,125,4.8,Tamil,Kollywood
Devarattam,2019,"Action ,Drama",1400000,140,4.0,Tamil,Kollywood
Tottaa Pataaka Item Maal,2019,Drama,150000,107,8.4,Hindi,Bollywood
22 Female Kottayam,2012,"Crime ,Drama ,Romance ,Thriller",350000,120,7.4,Malayalam,Mollywood
Soojidaara,2018,"Mystery ,Drama ,Thriller",1400000,140,8.2,Kannada,Sandalwood
Shubhalekha+lu,2018,Drama,280000,140,7.3,Telugu,Tollywood
Baccha shoshur,2019,Drama,1400000,140,5.6,Other Language,Other-wood
Shankar Mudi,2019,Drama,1400000,110,7.3,Other Language,Other-wood
Kanne Kalaimaane,2019,"Drama ,Romance",1400000,128,6.4,Tamil,Kollywood
Laatu,2018,Drama,1400000,112,6.6,Other Language,Other-wood
Loafer,2015,"Action ,Drama",1400000,134,5.1,Telugu,Tollywood
Dishkiyaoon,2014,"Action ,Thriller",1400000,119,5.2,Hindi,Bollywood
Gentleman,2016,"Mystery ,Romance ,Thriller",1400000,144,7.2,Telugu,Tollywood
Murder 3,2013,"Mystery ,Drama ,Thriller",3500000,124,4.9,Hindi,Bollywood
Chhello Divas,2015,Comedy,252000,138,8.2,Other Language,Other-wood
Mumbai Pune Mumbai 2,2015,Romance,280000,149,6.9,Other Language,Other-wood
Sat Shri Akaal England,2017,"Comedy ,Family",1400000,128,5.2,Other Language,Other-wood
High End Yaariyaan,2019,"Musical ,Comedy ,Drama ,Family ,Romance",986000,121,6.0,Other Language,Other-wood
Family 420 Once Again,2019,"Comedy ,Drama",280000,123,5.9,Other Language,Other-wood
Tarak,2017,"Action ,Drama ,Romance",1400000,158,7.6,Kannada,Sandalwood
Purani Jeans,2014,Drama,1400000,137,6.2,Hindi,Bollywood
Dolly Ki Doli,2015,"Comedy ,Romance",1400000,98,4.6,Hindi,Bollywood
Saat Saheliyan,2010,"Action ,Comedy ,Drama ,Romance",1400000,140,6.3,Other Language,Other-wood
